,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
14505,26013,Backkom Mission Impossible,빼꼼의미션임파서블,Unknown,A pastiche to Mission Impossible featuring Super Backkom trying to turn on a television which showed the Backkom Song!! (as listed in the Backkom Specials entry).,ONA,2.0,Finished Airing,2008,Not Available,Unknown,Unknown,RG Animation Studios,Original,Comedy,Parody,Kids,39.0,G - All Ages,5.541,183.0,109822.0,14527,421,0,2008.0
17215,29749,Convenience Store Senki Purin-tai,こんびに戦記 プリンタイ,Unknown,A series of shorts for the HP FamilyMart chain.,ONA,8.0,Finished Airing,2008,Not Available,Opera House,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,1.0,G - All Ages,,,174782.0,17239,216,0,2008.0
15335,41725,"Fukarai-chou, Tunnel Roji no Otoko",福来町、トンネル路地の男,Man In The Tunnel Alley,"A mysterious man, wearing a mask with eyes on it, is unable to go anywhere because he is plugged into an electrical outlet. He sits in an alleyway while various people visit him, curious about who he is and why he is there.

(Source: TMDB)",ONA,1.0,Finished Airing,2008,Not Available,Unknown,Unknown,Unknown,Original,"Avant Garde, Sci-Fi",Unknown,Unknown,4.0,PG-13 - Teens 13 or older,6.151,185.0,82672.0,15358,346,2,2008.0
14035,33549,Mame-Mofu Collab Animation,豆モフコラボアニメーシヨン,Unknown,A net anime collaboration between Mameshiba and Mofu☆Mofu at a summer festival during a goldfish scoop game.,ONA,1.0,Finished Airing,2008,Not Available,Unknown,Unknown,Unknown,Other,Comedy,Unknown,Unknown,2.0,G - All Ages,5.281,216.0,117882.0,14055,487,0,2008.0
21167,44678,Kuang Kuang Riji,哐哐日记 (哐哐哐),Unknown,Unknown,ONA,20.0,Finished Airing,2009,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,6.0,G - All Ages,,,193952.0,21198,27,0,2009.0
20249,44582,Cai Bao Gou Da Fanji,菜包狗大反击,Kungfu Bunny 3,Unknown,ONA,1.0,Finished Airing,2009,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,6.0,G - All Ages,,,172182.0,20274,46,0,2009.0
20274,44160,Mole Zhuang Yuan: Shiqian Ji,摩尔庄园 史前季,Unknown,Unknown,ONA,20.0,Finished Airing,2009,Unknown,Unknown,Unknown,Unknown,Game,Unknown,Unknown,Kids,5.0,PG - Children,,,135652.0,20302,46,0,2009.0
21174,44619,Ludou Wa: Gongyi Xilie,绿豆蛙公益系列,Unknown,Unknown,ONA,46.0,Finished Airing,2009,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Anthropomorphic,Unknown,1.0,PG - Children,,,131652.0,21202,27,0,2009.0
21246,43308,Zhi Duoduo: Jieri Jianianhua,智多多之節日嘉年華,Unknown,Educational anime series made by ICAC in Hong Kong.,ONA,10.0,Finished Airing,2010,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Educational,Kids,2.0,PG - Children,,,165742.0,21277,24,0,2010.0
12608,9423,Koko ni Iru,ここにいる,Unknown,A short directed by Yasuo Muroi.,ONA,1.0,Finished Airing,2010,Not Available,Mad Box,Unknown,Unknown,Unknown,Slice of Life,Unknown,Unknown,2.0,G - All Ages,5.821,380.0,98652.0,12621,791,0,2010.0
