Start_Aired,Genres,count
1973-01-02,Comedy,1
1973-01-07, Fantasy,1
1973-01-07,Adventure,1
1973-03-02,Comedy,1
1973-03-17,Adventure,1
1973-04-01, Comedy,1
1973-04-01, Fantasy,1
1973-04-01,Adventure,1
1973-04-01,Avant Garde,1
1973-04-02,Comedy,1
1973-04-04, Adventure,1
1973-04-04,Action,1
1973-04-07, Sci-Fi,1
1973-04-07,Action,1
1973-06-01,Unknown,1
1973-06-13,Unknown,1
1973-06-18,Unknown,1
1973-06-30,Avant Garde,1
1973-06-30, Drama,1
1973-07-18, Sci-Fi,1
1973-07-18,Adventure,1
1973-08-16,Unknown,1
1973-10-01, Sci-Fi,2
1973-10-01, Adventure,1
1973-10-01,Action,1
1973-10-01,Comedy,1
1973-10-02, Adventure,1
1973-10-02, Sci-Fi,1
1973-10-02,Action,1
1973-10-03, Sports,1
1973-10-03,Adventure,1
1973-10-04, Fantasy,1
1973-10-04, Horror,1
1973-10-04, Supernatural,1
1973-10-04,Comedy,1
1973-10-05,Drama,1
1973-10-05, Sports,1
1973-10-05, Romance,1
1973-10-06,Adventure,1
1973-10-07,Sports,1
1973-10-13,Action,1
1973-10-13, Sci-Fi,1
1973-12-03,Unknown,1
1974-01-01,Unknown,6
1974-01-01,Avant Garde,4
1974-01-01, Fantasy,1
1974-01-01,Fantasy,1
1974-01-01,Sci-Fi,1
1974-01-01, Supernatural,1
1974-01-01,Comedy,1
1974-01-01,Drama,1
1974-01-06, Slice of Life,1
1974-01-06,Drama,1
1974-02-04,Unknown,1
1974-03-16,Fantasy,1
1974-04-01,Sci-Fi,1
1974-04-01,Action,1
1974-04-01,Sports,1
1974-04-01,Unknown,1
1974-04-01, Sci-Fi,1
1974-04-01, Adventure,1
1974-04-02, Slice of Life,1
1974-04-02,Comedy,1
1974-04-03, Comedy,1
1974-04-03,Adventure,1
1974-04-04,Unknown,1
1974-04-04,Action,1
1974-04-04, Sci-Fi,1
1974-04-05,Adventure,2
1974-04-05, Sci-Fi,2
1974-04-05,Comedy,2
1974-04-05, Comedy,1
1974-04-05, Drama,1
1974-06-03, Fantasy,1
1974-06-03,Comedy,1
1974-06-05,Unknown,1
1974-06-06,Unknown,1
1974-06-24, Adventure,1
1974-06-24, Sci-Fi,1
1974-06-24,Action,1
1974-07-20,Fantasy,1
1974-07-25,Action,1
1974-08-01,Unknown,1
1974-09-08,Action,1
1974-09-08, Sci-Fi,1
1974-09-30, Comedy,1
1974-09-30,Adventure,1
1974-10-03,Unknown,1
1974-10-04, Adventure,1
1974-10-04, Fantasy,1
1974-10-04, Sci-Fi,1
1974-10-04,Adventure,1
1974-10-04,Action,1
1974-10-05,Comedy,1
1974-10-06,Action,1
1974-10-06,Drama,1
1974-10-06, Adventure,1
1974-10-06, Drama,1
1974-10-06, Sci-Fi,1
1974-10-06, Slice of Life,1
1974-10-13, Fantasy,1
1974-10-13,Comedy,1
1974-10-15,Comedy,1
