Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Hanasaku Iroha Movie: Home Sweet Home,劇場版 花咲くいろは HOME SWEET HOME,Movie,P.A. Works,2013-03-09,Original,2031,7.851,83435,86,Drama
Sword of Phantasia,ソード オブ ファンタジア,ONA,Unknown,2013-03-11,Game,14613,5.501,413,0,Fantasy
Cyclops Shoujo Saipuu,サイクロプス少女さいぷ～,ONA,Unknown,2013-03-12,4-koma manga,3002,5.741,41478,34,"Comedy, Slice of Life, Ecchi"
Koukou,こうこう,Movie,Unknown,2013-03-12,Original,15915,5.681,304,0,Unknown
Shimajirou to Fufu no Daibouken Movie: Sukue! Nana-iro no Hana,劇場版 しまじろうと フフの だいぼうけん ~すくえ! 七色の花~,Movie,Unknown,2013-03-15,Unknown,15859,,307,1,"Adventure, Comedy, Fantasy"
Vassalord.,Vassalord. (ヴァッサロード),OVA,Production I.G,2013-03-15,Manga,3409,6.781,32688,91,"Action, Boys Love, Comedy, Fantasy, Mystery, Supernatural"
Mole Zhuang Yuan 3rd Season,摩尔庄园第三季,TV,Unknown,2013-03-16,Game,20023,,51,0,Unknown
Precure All Stars Movie New Stage 2: Kokoro no Tomodachi,映画 プリキュアオールスターズ New Stage2 こころのともだち,Movie,Toei Animation,2013-03-16,Original,7972,7.141,4365,2,Action
Chocotan!,チョコタン!,Special,J.C.Staff,2013-03-17,Manga,7364,5.901,5295,3,Comedy
Hong Mao Lan Tu: Ao You Guo Lixian Ji,虹猫蓝兔奥悠国历险记,TV,Unknown,2013-03-18,Unknown,18808,,122,0,Unknown
Yankee Hamster,ヤンキーハムスター,ONA,Piso Studio,2013-03-18,Original,12706,6.211,767,2,Comedy
Redial,Redial,Music,Unknown,2013-03-20,Unknown,8854,6.501,3141,4,Unknown
Tamako Market Specials,たまこまーけっと ぺったんこアニメ,Special,Kyoto Animation,2013-03-20,Original,3506,6.421,30896,10,Comedy
Re:I Am,REI AM,Music,Unknown,2013-03-20,Original,13388,6.241,608,0,Romance
Hana wa Saku,花は咲く,Special,MAPPA,2013-03-20,Original,10261,6.211,1894,2,Unknown
Kyou kara Omoide,今日から思い出,Music,Unknown,2013-03-20,Original,14534,6.361,422,1,Drama
Nintama Rantarou: Ninjutsu Gakuen to Nazo no Onna - Kore wa Jiken Da yo! no Dan,忍たま乱太郎 忍術学園と謎の女 これは事件だよ〜！の段,Special,Unknown,2013-03-20,Unknown,15289,,352,0,Comedy
Hungry Zombie Francesca!!,Hungry Zombie Francesca!!,Music,Unknown,2013-03-20,Original,13162,5.411,658,0,Fantasy
Mikosuri Han-Gekijou,みこすり半劇場,OVA,Unknown,2013-03-21,Unknown,17389,,209,0,Comedy
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's Mini Picture Drama,魔法少女リリカルなのは The MOVIE 2nd A's ミニピクチャードラマ,Special,Unknown,2013-03-22,Original,10931,5.931,1461,0,Comedy
Cherry Blossom (Music),Cherry Blossom,Music,Unknown,2013-03-22,Music,14330,4.831,449,0,Unknown
Wooser no Sono Higurashi: Ken to Pants to Wooser to,うーさーのその日暮らし 拳とパンツとうーさーと,Special,SANZIGEN,2013-03-22,Web manga,8877,5.971,3113,0,"Comedy, Fantasy, Slice of Life"
Koukai Benjo The Animation,公開便所 THE ANIMATION,OVA,Office Takeout,2013-03-22,Manga,6805,6.081,6505,28,"Drama, Hentai"
"Marriage Blue: ""Konyakusha ga Iru no ni, Doushite Konna Otoko ni......""","マリッジブルー 「婚約者がいるのに, どうしてこんな男に......」",OVA,Rabbit Gate,2013-03-22,Visual novel,7740,6.291,4733,10,Hentai
Koi to Senkyo to Chocolate: Koi Imouto!,恋と選挙とチョコレート 第13話「恋妹！」,Special,AIC Build,2013-03-27,Visual novel,3234,6.841,36279,16,"Drama, Romance"
Puchimas!: Petit iDOLM@STER - Takatsuki Gold Densetsu Special!! Haruka-san Matsuri,ぷちます！－プチ・アイドルマスター－ 高槻ゴールド伝説すぺしゃる！！はるかさん祭り,Special,Gathering,2013-03-27,4-koma manga,8608,6.501,3424,2,"Comedy, Slice of Life"
Pandora Voxx Complete,PANDORA VOXX complete,Music,Unknown,2013-03-27,Music,15635,,323,2,Unknown
Arcana Famiglia: Capriccio - stile Arcana Famiglia,アルカナ・ファミリア Capriccio – stile Arcana Famiglia 奇想曲～アルカナ・ファミリア風,OVA,J.C.Staff,2013-03-27,Visual novel,4162,6.761,21543,16,Romance
"Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito",この中に1人、妹がいる！兄、妹、恋人,OVA,Studio Gokumi,2013-03-27,Light novel,2910,6.711,43808,16,"Comedy, Romance, Ecchi"
Senran Kagura Specials,閃乱カグラ,Special,Artland,2013-03-27,Unknown,4613,6.421,17153,21,Ecchi
Kira Kira 5th Anniversary Live Anime: Kick Start Generation,キラ☆キラ 5th Anniversary Live Anime KICK START GENERATION,OVA,SILVER LINK.,2013-03-27,Visual novel,9748,6.351,2254,6,Unknown
Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,緋色の欠片 突撃! 隣のイケメンズ,OVA,Studio Deen,2013-03-28,Visual novel,6272,6.711,7934,11,"Comedy, Fantasy"
Himitsukessha Taka no Tsume x Glass no Kamen Desu ga,秘密結社鷹の爪×ガラスの仮面ですが,ONA,DLE,2013-03-28,Other,14792,5.191,396,0,Comedy
Life: Jinsei no Taisetsu na Toki ni...,Ｌｉｆｅ～人生のたいせつな時に・・・,ONA,dwarf,2013-03-28,Original,16767,5.931,244,0,Slice of Life
"Dakara Boku wa, H ga Dekinai.: Mie Sugi! Mizugi Contest",だから僕は、Ｈができない 。 見えすぎ! 水着コンテスト,OVA,feel.,2013-03-29,Light novel,2425,6.651,61654,28,"Comedy, Romance, Ecchi"
Another: Misaki Mei - Shizukani,しずかに Another 見崎鳴,Music,P.A. Works,2013-03-29,Novel,3977,6.141,23845,40,Unknown
D-Spray,D-spray,OVA,Schoolzone,2013-03-29,Visual novel,8068,6.341,4232,8,Hentai
Vanquished Queens,ヴァンキッシュド・クイーンズ,OVA,Arms,2013-03-29,Other,5152,6.011,12927,14,"Action, Adventure, Fantasy, Ecchi"
Kotowari: Kimi no Kokoro no Koboreta Kakera,理－コトワリ－ ~キミの心の零れた欠片~,OVA,Nihikime no Dozeu,2013-03-29,Visual novel,6721,6.501,6696,17,Hentai
Vanquished Queens Specials,ヴァンキッシュド・クイーンズ,Special,Arms,2013-03-29,Other,6923,5.441,6204,2,Ecchi
Ai to Shi,愛と死,Special,Unknown,2013-03-30,Original,13422,5.331,601,0,Action
Dragon Ball Z Movie 14: Kami to Kami,ドラゴンボールZ 神と神,Movie,Toei Animation,2013-03-30,Manga,1027,7.391,198329,233,"Action, Adventure, Fantasy"
Ishida to Asakura Special,石田とあさくら,Special,Hotline,2013-03-31,Manga,8732,4.911,3259,1,Comedy
World Fool News,ワールド フールニュース,ONA,Unknown,2013-04-01,Other,12689,5.481,774,0,"Comedy, Slice of Life"
Shaonian Shiye: Zhili Wanshitong,少年师爷之知礼万事通,TV,Unknown,2013-04-01,Original,20571,,38,0,Unknown
