Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Akichi Asobi: Playground,あきちあそび Playground,Movie,Unknown,2013-01-01,Original,11416,6.121,1214,1,"Drama, Fantasy"
Hentai Ouji to Warawanai Neko.: Henneko BBS,変態王子と笑わない猫。へんねこBBS,Special,J.C.Staff,2013-01-02,Light novel,3442,6.701,32069,27,Comedy
Yama no Susume,ヤマノススメ,TV,8bit,2013-01-03,Manga,2159,6.821,74508,146,"Adventure, Comedy, Slice of Life"
Choboraunyopomi Gekijou Ai Mai Mii,ちょぼらうにょぽみ劇場 あいまいみー,TV,Seven,2013-01-03,4-koma manga,3631,5.811,29016,38,"Comedy, Slice of Life"
Mangirl!,まんがーる!,TV,Doga Kobo,2013-01-03,Manga,3475,5.811,31381,17,"Comedy, Slice of Life"
Cuticle Tantei Inaba,キューティクル探偵因幡,TV,Zexcs,2013-01-04,Manga,1834,7.261,97010,386,"Action, Comedy, Mystery, Supernatural"
Larva 2nd Season,라바,TV,Unknown,2013-01-05,Original,11363,6.171,1240,2,Comedy
Kkoma Sinseon Tao 2,금주의 꼬마신선 타오2,TV,Unknown,2013-01-05,Original,17858,,180,1,Unknown
D.C.III: Da Capo III,D.C.III ～ダ・カーポIII～,TV,Kazami Gakuen Koushiki Douga-bu,2013-01-05,Visual novel,3633,6.511,28948,36,"Drama, Romance, Ecchi"
Maoyuu Maou Yuusha,まおゆう魔王勇者,TV,Arms,2013-01-05,Light novel,429,7.251,443547,1361,"Adventure, Fantasy, Romance"
Minami-ke Tadaima,みなみけ ただいま,TV,feel.,2013-01-06,Manga,2596,7.661,54512,83,"Comedy, Slice of Life"
AKB0048: Next Stage,AKB0048 next stage,TV,Satelight,2013-01-06,Original,3306,7.631,35094,312,Sci-Fi
Ishida to Asakura,石田とあさくら,TV,Hotline,2013-01-06,Manga,5015,5.871,13747,17,Comedy
Hakkenden: Touhou Hakken Ibun,八犬伝 -東方八犬異聞-,TV,Studio Deen,2013-01-06,Manga,1693,7.401,108748,675,"Action, Fantasy, Supernatural"
Ongaku wa Tomatta,音楽は止まった,Music,Saigo no Shudan,2013-01-06,Original,18019,,171,0,Avant Garde
Love Live! School Idol Project,ラブライブ! School idol project,TV,Sunrise,2013-01-06,Other,448,7.411,422035,7824,Slice of Life
Senran Kagura,閃乱カグラ,TV,Artland,2013-01-06,Game,1489,6.281,127118,253,"Action, Comedy, Ecchi"
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,俺の彼女と幼なじみが修羅場すぎる,TV,A-1 Pictures,2013-01-06,Light novel,362,6.951,510772,1741,"Comedy, Romance"
Amnesia,AMNESIA,TV,Brain's Base,2013-01-07,Visual novel,726,6.001,280627,979,"Fantasy, Mystery, Romance"
Bakumatsu Gijinden Roman,幕末義人伝 浪漫,TV,TMS Entertainment,2013-01-08,Other,5554,6.131,10605,1,Fantasy
Line Offline: Salaryman,ＬＩＮＥ ＯＦＦＬＩＮＥ サラリーマン,TV,Shogakukan Music & Digital Entertainment,2013-01-08,Original,10188,6.511,1939,4,Comedy
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,絶対可憐チルドレン THE UNLIMITED 兵部京介,TV,Manglobe,2013-01-08,Original,1385,7.481,140467,411,"Action, Supernatural"
Senyuu.,戦勇。,TV,"Ordet, LIDENFILMS",2013-01-09,Web manga,1650,7.301,111718,595,"Action, Comedy, Fantasy"
Jigoku Youchien,地獄ようちえん,ONA,Unknown,2013-01-09,Original,10503,4.561,1742,0,Unknown
Code Geass: Soubou no Oz Picture Drama,コードギアス 双貌のオズ ピクチャードマラ,OVA,Sunrise,2013-01-10,Unknown,5005,6.251,13835,5,"Action, Drama, Supernatural"
gdgd Fairies 2,gdgd妖精s 2期,TV,Unknown,2013-01-10,Original,9531,6.891,2438,23,"Comedy, Fantasy"
GJ-bu,GJ部,TV,Doga Kobo,2013-01-10,Light novel,1219,7.311,165957,730,"Comedy, Slice of Life"
Tamako Market,たまこまーけっと,TV,Kyoto Animation,2013-01-10,Original,498,7.391,386154,1473,Slice of Life
Sasami-san@Ganbaranai,ささみさん@がんばらない,TV,Shaft,2013-01-11,Light novel,2078,6.671,79362,140,"Comedy, Romance, Supernatural"
Vividred Operation,ビビッドレッド・オペレーション,TV,A-1 Pictures,2013-01-11,Original,2369,6.441,64099,95,"Action, Sci-Fi, Ecchi"
Boku wa Tomodachi ga Sukunai Next,僕は友達が少ないNEXT,TV,AIC Build,2013-01-11,Light novel,373,7.311,499571,1142,"Comedy, Romance"
Kotoura-san,琴浦さん,TV,AIC Classic,2013-01-11,4-koma manga,626,7.181,316820,1022,"Comedy, Drama, Romance"
Chihayafuru 2,ちはやふる 2,TV,Madhouse,2013-01-12,Manga,931,8.391,218282,1566,"Drama, Slice of Life, Sports"
Ganbare! Oden-kun,がんばれ！おでんくん,TV,Kachidoki Studio,2013-01-12,Picture book,15644,,323,2,Comedy
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,問題児たちが異世界から来るそうですよ?,TV,Diomedéa,2013-01-12,Light novel,342,7.471,544871,3627,"Action, Comedy, Fantasy, Supernatural"
Hunter x Hunter Movie 1: Phantom Rouge,劇場版 HUNTER×HUNTER 緋色の幻影（ファントム・ルージュ）,Movie,Madhouse,2013-01-12,Manga,1134,7.261,177634,255,"Action, Adventure, Fantasy"
Cardfight!! Vanguard: Link Joker-hen,カードファイト!! ヴァンガード リンクジョーカー編,TV,TMS Entertainment,2013-01-13,Original,4195,7.131,21108,74,"Action, Adventure"
Beast Saga,ビーストサーガ,TV,SynergySP,2013-01-13,Unknown,10824,5.501,1527,3,"Action, Sci-Fi"
Bijutsu Kyouiku,美術教育,Movie,Unknown,2013-01-14,Original,16829,,240,0,"Comedy, Drama, Romance"
Gakkatsu! 2nd Season,ガッ活！ 第2シーズン,TV,Fanworks,2013-01-16,Unknown,10283,6.381,1881,1,Comedy
Pokemon Best Wishes! Season 2: Episode N,ポケットモンスター ベストウイッシュ シーズン2 エピソードN,TV,OLM,2013-01-17,Game,2977,6.651,42088,29,"Action, Adventure, Comedy, Fantasy"
Ganbare! Lulu Lolo,がんばれ！ルルロロ,TV,Fanworks,2013-01-17,Picture book,14790,,396,0,Slice of Life
Soushi Souai: Junai Mellow yori,窓視相愛 ~純愛メロウより~,OVA,Studio Prokion,2013-01-18,Manga,6448,6.661,7435,21,Hentai
Lulin Da Maoxian,绿林大冒险,Movie,Shanghai Hippo Animation,2013-01-19,Original,17108,,225,0,"Adventure, Fantasy"
Ppalgan Jajeongeo,빨간 자전거,TV,Unknown,2013-01-22,Unknown,18897,,115,0,Slice of Life
Heroes: Battle Disk Densetsu,ヒーローズ ~バトルディスク伝説~,ONA,Unknown,2013-01-22,Original,19898,,54,0,Sci-Fi
Pororo Geugjangpan Super Sseolmae Daemoheom,뽀로로 극장판 슈퍼썰매 대모험,Movie,Unknown,2013-01-23,Unknown,15858,,307,0,Unknown
Xi Yangyang Yu Hui Tailang: Xi Qi Yangyang Guo She Nian,喜羊羊与灰太狼之喜气羊羊过蛇年,Movie,Unknown,2013-01-24,Unknown,16257,,281,0,"Adventure, Comedy"
TRAPxTRAP feat. Hatsune Miku,TRAP×TRAP feat. 初音ミク,Music,Unknown,2013-01-25,Original,13789,5.551,531,0,Unknown
Hetalia: The Beautiful World,ヘタリア The Beautiful World,ONA,Studio Deen,2013-01-25,Web manga,2281,7.441,68417,559,Comedy
Miboujin Nikki: Akogare no Ano Hito to Hitotsu Yane no Shita,未亡人日記 ~憧れのあの女（ひと）と一つ屋根の下~,OVA,Ishibashi Planning,2013-01-25,Visual novel,5557,6.951,10587,55,Hentai
Yonhyaku-nijuu Renpai Girl,四百二十連敗ガール,ONA,Trigger,2013-01-25,Light novel,7224,5.741,5543,10,"Comedy, Romance"
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,えびてん 公立海老栖川高校天悶部 OAD,OVA,AIC Classic,2013-01-26,Manga,7252,6.321,5494,1,"Comedy, Ecchi"
Asako Get You!!,あさこげっちゅ!!,OVA,SILVER LINK.,2013-01-26,4-koma manga,8214,5.721,4008,0,"Comedy, Romance, Slice of Life"
Natsuyasumi.,ナツヤスミ.,ONA,Studio 9 Maiami,2013-01-27,Original,5324,5.771,11910,88,"Boys Love, Hentai"
True Tears Recap,true tears 第01話~第10話 ダイジェスト,Special,P.A. Works,2013-01-29,Original,11193,5.871,1324,0,Drama
Me & My Robot,미앤마이로봇,TV,Unknown,2013-02-01,Original,19433,,79,0,"Comedy, Sci-Fi"
Sai Er Hao Season 2: Sheng Zhe Ni Xi,赛尔号之圣者逆袭,TV,Unknown,2013-02-01,Original,19337,,85,0,Unknown
Tenuto,テヌート,Music,Unknown,2013-02-01,Original,17436,,206,0,Romance
Dianji Xiaozi 3rd Season,电击小子 第三部,TV,Unknown,2013-02-01,Original,21077,,29,0,Unknown
Berserk: Ougon Jidai-hen III - Kourin,ベルセルク 黄金時代篇Ⅲ 降臨,Movie,Studio 4°C,2013-02-01,Manga,1016,8.201,201231,1462,"Action, Adventure, Drama, Fantasy, Horror, Supernatural"
Yumemachi Ressha,夢待列車,Music,Unknown,2013-02-01,Original,19281,,90,0,Fantasy
Sayonara no Kawari ni 2013,サヨナラのかわりに2013,Music,Unknown,2013-02-01,Original,17767,,186,0,Unknown
Hitou Meguri Kakure Yu: Mao-hen,秘湯めぐり 隠れ湯 舞桜編,OVA,Kantou Douga Kai,2013-02-02,Visual novel,6454,6.291,7406,21,Hentai
Dokidoki! Precure,ドキドキ! プリキュア,TV,Toei Animation,2013-02-03,Original,4019,6.621,23344,132,"Action, Fantasy"
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,スケットダンス 妹の悩みに悩む兄に悩む妹とその仲間達,OVA,Tatsunoko Production,2013-02-04,Manga,4227,7.921,20683,17,Comedy
Irotoridori,イロトリドリ,Music,Unknown,2013-02-05,Original,17132,5.201,223,0,Unknown
Chokkyuu Hyoudai Robot Anime: Straight Title,直球表題 ロボットアニメ-STRAIGHT TITLE-,TV,Bouncy,2013-02-06,Unknown,9502,5.671,2460,4,Comedy
1,1,ONA,Unknown,2013-02-07,Original,4794,3.361,15519,5,Comedy
Xiong Chumo: Guonian,熊出没之过年,Special,Unknown,2013-02-08,Original,17156,,222,0,"Adventure, Comedy"
Joshiraku OVA,じょしらく,OVA,J.C.Staff,2013-02-08,Manga,4219,7.391,20849,8,"Comedy, Slice of Life"
Star Driver the Movie,スタードライバー THE MOVIE,Movie,Bones,2013-02-09,Original,5273,6.631,12232,8,"Action, Romance"
Dareka no Manazashi,だれかのまなざし,Movie,CoMix Wave Films,2013-02-10,Original,2318,7.331,66669,92,"Drama, Slice of Life"
Idol Kouhosei,アイドル候補生,OVA,Lilix,2013-02-13,Original,8821,5.741,3171,3,Hentai
Ane Koi: Suki Kirai Daisuki.,姉恋 スキ・キライ・ダイスキ。,OVA,Studio Prokion,2013-02-15,Manga,5255,6.861,12309,58,Hentai
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,フェアリーテイル 序章「はじまりの朝」,Special,"Satelight, A-1 Pictures",2013-02-15,Manga,2008,7.321,84974,196,Fantasy
Liv & Bell,リヴ＆ベル,TV,Unknown,2013-02-15,Unknown,16017,,298,0,Adventure
Kagaku na Yatsura,カガクなヤツら,OVA,Hoods Entertainment,2013-02-20,Manga,3930,5.691,24546,120,"Comedy, Romance, Sci-Fi, Ecchi"
Saki Achiga-hen: Episode of Side-A Specials,咲-Saki-阿知賀編 episode of side-A スペシャルエピソード 13話～16話,Special,Studio Gokumi,2013-02-20,Manga,5026,7.531,13691,20,Slice of Life
Chu Shite Agechau: Oshikake Oneesan no Seikou Chiryou,Chu(治癒)してあげちゃう ~押しかけお姉さんの性交恥療~,OVA,PoRO,2013-02-22,Visual novel,5961,6.901,9033,31,Hentai
Soushisouai Note The Animation,相思相愛ノート THE ANIMATION,OVA,T-Rex,2013-02-22,Manga,5661,7.201,10158,62,Hentai
Koutetsu no Vendetta Episode 0,鋼鉄のヴァンデッタ,ONA,Unknown,2013-02-22,Unknown,13460,5.901,594,0,"Action, Sci-Fi"
Mobile Suit Gundam: The 08th MS Team - A Battle with the Third Dimension,機動戦士ガンダム 第08MS小隊 三次元との戦い,Special,Sunrise,2013-02-22,Unknown,6015,7.091,8840,4,Action
Kuroko no Basket: Tip Off,黒子のバスケ 第22.5Q 「Tip off」,Special,Production I.G,2013-02-22,Manga,1831,7.821,97133,80,Sports
Wanna. SpartanSex Spermax!!!,Wanna. SpartanSex Spermax!!!,OVA,Suzuki Mirano,2013-02-22,Visual novel,6111,6.671,8494,38,Hentai
Fault!! Service: Aratanaru Rival,フォルト!!S(サービス)~新たなる恋敵(ライバル)~,OVA,T-Rex,2013-02-22,Visual novel,5293,6.901,12107,38,Hentai
Sei Yariman Gakuen Enkou Nikki The Animation,聖ヤリマン学園援交日記 THE ANIMATION,OVA,Seven,2013-02-22,Visual novel,5117,7.081,13138,91,Hentai
Toaru Majutsu no Index Movie: Endymion no Kiseki,劇場版 とある魔術の禁書目録 エンデュミオンの奇蹟,Movie,J.C.Staff,2013-02-23,Original,1520,7.441,123599,181,"Action, Sci-Fi"
Ashita no Kibou: Kanashimi yo Arigatou - Takae Tsuneo Monogatari,明日の希望 悲しみよありがとう 高江常男物語,Movie,Unknown,2013-02-23,Unknown,14615,,413,0,"Drama, Slice of Life"
Chouyaku Hyakuninisshu: Uta Koi. - Sake to Kikoushi ~ Murasaki Kishikibu to Kintou,超訳百人一首 うた恋い。酒と貴公子～藤式部と公任,Special,TYO Animations,2013-02-27,Manga,10172,6.421,1946,1,Unknown
