anime_ID,Start_Aired,Genres
19901,1967-09-07,Comedy
8182,1967-09-18,Adventure
8182,1967-09-18, Horror
8501,1967-10-02,Comedy
8501,1967-10-02, Supernatural
36820,1967-10-04,Unknown
11405,1967-10-04,Action
11405,1967-10-04, Sci-Fi
21539,1967-10-07,Comedy
29409,1968-01-01,Unknown
29701,1968-01-01,Comedy
7255,1968-01-01,Comedy
30326,1968-01-01,Avant Garde
34162,1968-01-01,Unknown
7030,1968-01-01,Comedy
13091,1968-01-01,Comedy
52399,1968-01-01,Action
52399,1968-01-01, Sci-Fi
5688,1968-01-03,Adventure
5688,1968-01-03, Comedy
5688,1968-01-03, Fantasy
5688,1968-01-03, Horror
5688,1968-01-03, Supernatural
32629,1968-01-07,Sci-Fi
12139,1968-02-01,Action
12139,1968-02-01, Mystery
36056,1968-02-07,Unknown
5098,1968-03-19,Drama
5098,1968-03-19, Fantasy
5834,1968-03-30,Drama
5834,1968-03-30, Sports
17671,1968-04-01,Sports
8394,1968-04-05,Action
8394,1968-04-05, Adventure
8394,1968-04-05, Sci-Fi
18635,1968-04-06,Comedy
18635,1968-04-06, Slice of Life
19997,1968-04-06,Action
19997,1968-04-06, Comedy
19997,1968-04-06, Sci-Fi
3129,1968-04-21,Comedy
3129,1968-04-21, Horror
52397,1968-07-01,Action
52397,1968-07-01, Adventure
1044,1968-07-21,Adventure
1044,1968-07-21, Drama
16808,1968-07-25,Action
16808,1968-07-25, Adventure
34038,1968-08-01,Fantasy
30202,1968-08-05,Unknown
6056,1968-09-03,Action
12765,1968-09-30,Action
3473,1968-10-01,Unknown
15957,1968-10-02,Comedy
5997,1968-10-03,Action
5997,1968-10-03, Adventure
5997,1968-10-03, Drama
5997,1968-10-03, Slice of Life
4044,1968-10-07,Horror
29777,1968-10-12,Avant Garde
29777,1968-10-12, Comedy
17673,1968-10-19,Fantasy
28145,1968-10-21,Action
28145,1968-10-21, Adventure
28145,1968-10-21, Sci-Fi
35668,1968-12-02,Unknown
7022,1969-01-01,Avant Garde
7022,1969-01-01, Comedy
29667,1969-01-01,Avant Garde
34224,1969-01-01,Slice of Life
32226,1969-01-01,Avant Garde
5225,1969-01-01,Action
5225,1969-01-01, Comedy
42292,1969-01-01,Action
42292,1969-01-01, Adventure
42292,1969-01-01, Fantasy
12807,1969-01-02,Adventure
3285,1969-01-06,Unknown
8899,1969-01-13,Action
8899,1969-01-13, Adventure
8899,1969-01-13, Sci-Fi
21551,1969-02-02,Sci-Fi
27375,1969-03-18,Drama
2279,1969-03-18,Adventure
2279,1969-03-18, Fantasy
19999,1969-03-31,Adventure
19999,1969-03-31, Comedy
12835,1969-04-01,Comedy
12835,1969-04-01, Slice of Life
8646,1969-04-01,Unknown
4439,1969-04-02,Action
20001,1969-04-04,Comedy
20001,1969-04-04, Slice of Life
5023,1969-04-06,Action
5023,1969-04-06, Adventure
5760,1969-04-06,Action
5760,1969-04-06, Adventure
5760,1969-04-06, Supernatural
20003,1969-04-28,Slice of Life
3038,1969-06-14,Adventure
3038,1969-06-14, Fantasy
2811,1969-07-20,Adventure
2811,1969-07-20, Drama
2811,1969-07-20, Sci-Fi
43703,1969-07-22,Action
43703,1969-07-22, Adventure
17441,1969-07-26,Drama
17441,1969-07-26, Sports
20005,1969-09-29,Comedy
17467,1969-09-29,Action
17467,1969-09-29, Drama
3009,1969-10-02,Action
3009,1969-10-02, Drama
3009,1969-10-02, Sports
8234,1969-10-05,Adventure
8234,1969-10-05, Comedy
8234,1969-10-05, Fantasy
8234,1969-10-05, Slice of Life
2892,1969-10-05,Comedy
2892,1969-10-05, Fantasy
2406,1969-10-05,Comedy
2406,1969-10-05, Slice of Life
39450,1969-10-20,Unknown
20007,1969-10-29,Action
20007,1969-10-29, Hentai
19973,1969-11-06,Drama
19973,1969-11-06, Sports
47913,1969-12-01,Unknown
1550,1969-12-07,Drama
1550,1969-12-07, Sports
17443,1969-12-20,Drama
17443,1969-12-20, Sports
30327,1970-01-01,Avant Garde
10812,1970-01-01,Action
29673,1970-01-01,Comedy
34340,1970-01-01,Unknown
9895,1970-01-01,Avant Garde
9895,1970-01-01, Comedy
7259,1970-01-01,Unknown
29587,1970-01-01,Unknown
13089,1970-01-01,Comedy
36380,1970-02-03,Unknown
24927,1970-03-17,Adventure
2830,1970-03-17,Adventure
2830,1970-03-17, Drama
2830,1970-03-17, Slice of Life
18061,1970-03-17,Sports
12789,1970-03-21,Fantasy
9163,1970-03-21,Drama
9163,1970-03-21, Sports
17445,1970-03-21,Drama
17445,1970-03-21, Sports
20009,1970-03-30,Unknown
20025,1970-03-30,Comedy
2402,1970-04-01,Action
2402,1970-04-01, Drama
2402,1970-04-01, Slice of Life
2402,1970-04-01, Sports
9284,1970-04-03,Comedy
9284,1970-04-03, Sports
20023,1970-04-05,Comedy
3858,1970-04-07,Adventure
3858,1970-04-07, Comedy
3858,1970-04-07, Drama
2316,1970-04-13,Sports
36358,1970-06-02,Unknown
22999,1970-06-10,Unknown
25921,1970-07-01,Adventure
9172,1970-07-19,Adventure
9172,1970-07-19, Fantasy
18063,1970-07-19,Sports
23001,1970-08-01,Unknown
9165,1970-08-01,Drama
9165,1970-08-01, Sports
17447,1970-08-01,Drama
17447,1970-08-01, Sports
20079,1970-09-03,Comedy
20079,1970-09-03, Slice of Life
2755,1970-09-15,Sci-Fi
23011,1970-09-28,Action
23011,1970-09-28, Sports
36347,1970-10-01,Unknown
3870,1970-10-02,Sports
8786,1970-10-04,Comedy
8786,1970-10-04, Sports
23013,1970-10-05,Comedy
8778,1970-10-06,Unknown
22219,1970-10-07,Comedy
22219,1970-10-07, Slice of Life
4113,1970-11-02,Fantasy
4113,1970-11-02, Romance
38324,1970-12-19,Unknown
