Year,Type,Count
1979-01-07,TV,1
1979-02-03,TV,1
1979-02-05,TV,1
1979-02-06,Music,1
1979-02-07,Music,1
1979-02-09,TV,1
1979-02-18,Special,1
1979-03-03,Movie,1
1979-03-06,TV,1
1979-03-17,Movie,3
1979-03-21,TV,1
1979-04-02,TV,2
1979-04-03,Music,1
1979-04-04,Movie,1
1979-04-04,TV,1
1979-04-07,TV,4
1979-04-14,TV,1
1979-04-19,TV,1
1979-04-29,Special,1
1979-05-05,Special,1
1979-05-19,Movie,1
1979-06-04,Music,1
1979-06-19,Special,1
1979-06-30,Special,1
1979-07-10,Movie,1
1979-07-19,TV,1
1979-07-21,Movie,2
1979-07-22,Movie,1
1979-07-26,Movie,1
1979-07-27,TV,1
1979-07-28,Movie,1
1979-07-31,Special,1
1979-08-01,Movie,1
1979-08-02,Movie,1
1979-08-04,Movie,1
1979-08-26,Special,1
1979-09-08,Movie,1
1979-09-09,TV,1
1979-09-15,Movie,2
1979-09-15,Special,1
1979-09-28,Special,1
1979-10-03,Special,1
1979-10-06,TV,1
1979-10-07,TV,2
1979-10-09,TV,1
1979-10-10,Special,1
1979-10-10,TV,1
1979-10-11,Special,1
1979-10-13,TV,1
1979-10-25,TV,1
1979-10-27,Movie,1
1979-11-10,Movie,1
1979-12-06,Music,1
1979-12-10,Music,1
1979-12-15,Movie,1
1980-01-01,Movie,29
1980-01-01,Music,1
1980-01-01,Special,3
1980-01-01,TV,2
1980-01-03,Special,1
1980-01-06,TV,1
1980-01-07,TV,1
1980-01-08,TV,1
1980-01-09,TV,1
1980-01-12,Movie,1
1980-02-02,TV,2
1980-02-03,Special,1
1980-02-04,TV,1
1980-02-07,Music,1
1980-02-15,TV,1
1980-03-01,Movie,1
1980-03-08,Movie,1
1980-03-15,Movie,6
1980-03-19,TV,1
1980-04-01,Music,1
1980-04-02,Special,1
1980-04-03,Special,1
1980-04-04,TV,1
1980-04-06,TV,1
1980-04-07,TV,1
1980-04-14,TV,1
1980-04-15,TV,1
1980-04-19,Movie,1
1980-04-26,Movie,1
1980-05-03,Movie,1
1980-05-03,Special,1
1980-05-08,TV,1
1980-06-04,TV,1
1980-06-13,Special,1
1980-06-30,TV,1
1980-07-12,Movie,2
1980-07-16,TV,1
1980-07-19,Movie,2
1980-07-26,Movie,1
1980-08-02,Movie,1
1980-08-07,Music,1
1980-08-12,Special,1
1980-08-19,Special,1
1980-08-25,Special,1
1980-08-31,Special,1
1980-09-02,TV,1
1980-09-07,TV,1
1980-09-10,Special,1
1980-09-28,TV,1
1980-10-01,Music,2
1980-10-01,TV,1
1980-10-02,Special,1
1980-10-03,TV,1
1980-10-09,TV,1
1980-10-10,Special,1
1980-10-11,TV,2
1980-10-13,TV,1
1980-12-01,Movie,1
1980-12-03,Music,1
1980-12-13,Movie,1
1980-12-20,Movie,1
1981-01-01,Movie,24
1981-01-01,Music,1
1981-01-03,Special,3
1981-01-04,TV,1
1981-01-05,Movie,1
1981-01-08,Movie,1
1981-01-31,TV,1
1981-02-01,Music,1
1981-02-07,Special,1
1981-02-07,TV,1
1981-03-01,TV,1
1981-03-04,TV,1
1981-03-06,TV,1
1981-03-07,TV,1
1981-03-14,Movie,8
1981-03-20,Movie,2
1981-03-31,Special,1
1981-04-03,TV,1
1981-04-04,TV,1
1981-04-07,TV,2
1981-04-08,TV,1
1981-04-11,Movie,2
1981-04-11,TV,1
1981-04-16,TV,1
1981-04-20,TV,1
1981-04-26,Special,1
1981-05-05,Movie,1
1981-05-05,Special,1
1981-06-08,Special,1
1981-07-03,TV,1
1981-07-04,Movie,2
1981-07-11,Movie,1
1981-07-16,Movie,1
1981-07-18,Movie,2
1981-07-21,Movie,1
1981-07-25,Special,1
1981-07-27,Special,1
1981-08-01,Movie,2
1981-08-09,Movie,1
1981-08-16,Special,1
1981-08-22,Special,1
1981-08-23,Special,2
1981-09-03,TV,1
1981-09-07,TV,1
1981-09-28,TV,1
1981-10-01,Movie,1
1981-10-02,TV,2
1981-10-03,Special,1
1981-10-03,TV,2
1981-10-04,TV,1
1981-10-06,TV,1
1981-10-07,Movie,1
1981-10-07,Special,1
1981-10-07,TV,1
1981-10-08,TV,1
1981-10-09,TV,1
1981-10-14,TV,1
1981-10-23,TV,1
1981-11-28,Movie,2
1981-12-01,Music,1
1981-12-04,Special,1
1981-12-07,Music,1
1981-12-22,Special,1
1981-12-28,Movie,1
1981-12-29,Movie,1
1981-12-31,Special,1
1982-01-01,Movie,29
1982-01-01,Special,1
1982-01-01,TV,1
1982-01-02,Special,1
1982-01-03,Special,1
1982-01-04,Special,1
1982-01-05,Movie,1
1982-01-10,TV,1
1982-01-23,Movie,1
1982-01-25,TV,1
1982-02-06,TV,1
1982-02-07,Special,1
1982-02-11,TV,1
1982-02-13,TV,1
1982-02-17,Special,1
1982-03-03,TV,1
1982-03-13,Movie,9
1982-03-18,TV,1
1982-03-20,Movie,2
1982-03-31,Special,1
1982-04-04,Music,1
1982-04-05,Special,1
1982-04-05,TV,2
1982-04-06,Music,1
1982-04-08,TV,1
1982-04-17,TV,1
1982-04-24,Movie,2
1982-04-29,Special,1
1982-05-01,TV,1
1982-05-04,TV,1
1982-05-05,Special,2
1982-05-05,TV,2
1982-05-08,TV,1
1982-06-01,Music,2
1982-06-05,TV,1
1982-06-17,Special,1
1982-07-03,Movie,1
1982-07-05,TV,1
1982-07-06,TV,1
1982-07-10,Movie,4
1982-07-28,Movie,1
1982-07-30,Movie,1
1982-08-01,Music,1
1982-08-04,Music,1
1982-08-07,Movie,1
1982-08-21,Movie,1
1982-08-22,Special,2
1982-10-03,TV,1
1982-10-04,TV,1
1982-10-06,Movie,1
1982-10-06,Music,1
1982-10-07,TV,3
1982-10-09,TV,1
1982-10-10,TV,1
1982-10-12,TV,1
1982-10-13,TV,1
1982-10-15,Special,1
1982-10-16,TV,1
1982-10-17,TV,1
1982-10-19,Special,1
1982-10-24,Movie,1
1982-10-30,Movie,1
1982-12-01,Movie,2
1982-12-05,Movie,1
1982-12-05,Music,1
1982-12-18,Movie,2
1982-12-21,Movie,1
1982-12-24,Special,1
1982-12-27,Special,1
1983-01-01,Movie,26
1983-01-01,OVA,1
1983-01-01,Special,2
1983-01-03,Movie,1
1983-01-09,TV,2
1983-01-10,TV,1
1983-01-21,TV,1
1983-02-01,Music,1
1983-02-05,TV,1
1983-02-09,Special,1
1983-02-13,Movie,1
1983-03-01,TV,1
1983-03-04,TV,1
1983-03-12,Movie,5
1983-03-13,Movie,2
1983-03-19,Movie,1
1983-03-30,TV,1
1983-03-31,TV,1
1983-04-01,Music,1
1983-04-01,TV,1
1983-04-02,TV,1
1983-04-03,Music,1
1983-04-03,TV,2
1983-04-04,Music,1
1983-04-04,TV,3
1983-04-05,Music,1
1983-04-05,TV,1
1983-04-07,TV,1
1983-04-09,TV,2
1983-04-13,Music,1
1983-04-29,Movie,3
1983-05-04,Special,1
1983-05-20,TV,1
1983-05-26,TV,1
1983-05-28,Movie,1
1983-06-05,TV,1
1983-06-07,Music,1
1983-06-15,Movie,1
1983-07-01,Movie,3
1983-07-01,TV,2
1983-07-03,TV,1
1983-07-06,TV,1
1983-07-09,Movie,3
1983-07-10,Movie,1
1983-07-11,TV,1
1983-07-16,Movie,1
1983-07-20,Special,1
1983-07-21,Movie,2
1983-08-01,Movie,1
1983-08-01,Music,2
1983-08-04,Movie,1
1983-08-13,Movie,1
1983-08-21,Special,1
1983-09-12,Special,1
1983-09-16,Movie,1
1983-10-02,TV,1
1983-10-05,Music,1
1983-10-06,Music,1
1983-10-07,TV,2
1983-10-10,TV,2
1983-10-13,TV,1
1983-10-20,TV,1
1983-10-21,TV,1
1983-11-08,TV,1
1983-12-01,Music,2
1983-12-07,Music,1
1983-12-17,Movie,1
1983-12-18,Special,1
1983-12-21,OVA,1
1983-12-24,OVA,1
1983-12-24,Special,1
1984-01-01,Movie,20
1984-01-01,OVA,2
1984-01-01,Special,4
1984-01-01,TV,2
1984-01-07,TV,1
1984-01-08,TV,2
1984-02-01,Movie,1
1984-02-01,Music,2
1984-02-03,TV,1
1984-02-04,TV,1
1984-02-06,TV,1
1984-02-07,TV,2
1984-02-11,Movie,2
1984-02-21,OVA,1
1984-03-03,TV,2
1984-03-04,Movie,1
1984-03-04,TV,1
1984-03-10,Movie,1
1984-03-11,Movie,4
1984-03-17,Movie,4
1984-03-18,TV,1
1984-03-20,Special,1
1984-04-02,Music,1
1984-04-03,TV,1
1984-04-04,Music,1
1984-04-05,TV,3
1984-04-06,Music,1
1984-04-07,Music,1
1984-04-07,TV,1
1984-04-09,TV,2
1984-04-11,TV,1
1984-04-13,TV,1
1984-04-15,TV,1
1984-04-21,Movie,1
1984-06-01,Movie,1
1984-06-02,Music,1
1984-06-19,Music,1
1984-07-04,Special,1
1984-07-06,TV,1
1984-07-07,Movie,2
1984-07-07,TV,1
1984-07-08,Movie,1
1984-07-14,Movie,2
1984-07-15,Movie,1
1984-07-21,OVA,2
1984-08-01,Music,1
1984-08-02,Music,1
1984-08-03,Movie,1
1984-08-04,Movie,1
1984-08-10,OVA,1
1984-08-12,Movie,1
1984-08-16,Special,1
1984-08-19,Movie,1
1984-08-20,Music,1
1984-09-01,TV,1
1984-09-05,Special,1
1984-09-08,TV,1
1984-09-20,TV,1
1984-09-22,Movie,1
1984-10-01,Music,1
1984-10-02,Music,1
1984-10-03,TV,1
1984-10-05,Music,1
1984-10-05,TV,3
1984-10-06,TV,2
1984-10-07,TV,1
1984-10-11,OVA,1
1984-10-11,TV,1
1984-10-28,OVA,2
1984-11-06,TV,1
1984-11-30,OVA,1
1984-12-01,Movie,1
1984-12-03,Music,1
1984-12-15,OVA,2
1984-12-22,Movie,2
1984-12-22,OVA,1
1985-01-01,Movie,28
1985-01-01,OVA,3
1985-01-01,Special,2
1985-01-06,TV,1
1985-01-10,OVA,1
1985-01-17,Movie,1
1985-01-21,OVA,2
1985-01-26,Movie,1
1985-02-01,Music,2
1985-02-03,Music,1
1985-02-05,OVA,1
1985-02-25,OVA,1
1985-03-01,OVA,1
1985-03-02,TV,1
1985-03-09,Movie,2
1985-03-09,OVA,1
1985-03-10,OVA,2
1985-03-10,TV,1
1985-03-16,Movie,6
1985-03-16,OVA,1
1985-03-20,Special,1
1985-03-24,TV,1
1985-03-28,Music,1
1985-03-28,OVA,1
1985-04-01,Music,2
1985-04-01,TV,1
1985-04-02,TV,2
1985-04-04,Music,1
1985-04-05,TV,1
1985-04-08,TV,2
1985-04-13,OVA,1
1985-04-18,TV,1
1985-04-25,OVA,1
1985-04-27,Movie,1
1985-05-01,OVA,1
1985-05-08,OVA,1
1985-05-10,OVA,2
1985-06-03,Music,1
1985-06-03,TV,1
1985-06-07,TV,1
1985-06-15,OVA,1
1985-06-21,OVA,3
1985-06-22,Movie,1
1985-07-10,OVA,2
1985-07-13,Movie,5
1985-07-15,TV,1
1985-07-20,Movie,3
1985-07-20,OVA,2
1985-07-23,OVA,1
1985-07-28,OVA,1
1985-08-01,Music,1
1985-08-02,Music,1
1985-08-03,Movie,1
1985-08-10,Movie,1
1985-08-13,Movie,1
1985-08-17,Movie,1
1985-08-21,OVA,1
1985-08-25,Special,1
1985-09-01,OVA,1
1985-09-21,OVA,2
1985-09-24,OVA,1
1985-09-25,OVA,1
1985-09-25,Special,1
1985-10-01,Music,1
1985-10-01,OVA,1
1985-10-02,Music,1
1985-10-03,TV,1
1985-10-06,TV,1
1985-10-07,TV,1
1985-10-09,OVA,1
1985-10-12,TV,1
1985-10-19,OVA,1
1985-10-19,TV,1
1985-10-20,TV,1
1985-10-21,OVA,1
1985-10-26,Movie,1
1985-11-21,OVA,2
1985-11-23,OVA,1
1985-11-23,Special,1
1985-11-25,OVA,1
1985-11-28,OVA,1
1985-12-03,Music,1
1985-12-10,OVA,1
1985-12-15,OVA,1
1985-12-16,OVA,2
1985-12-20,OVA,1
1985-12-21,Movie,5
1985-12-22,OVA,1
1986-01-01,Movie,14
1986-01-01,OVA,6
1986-01-01,Special,2
1986-01-01,TV,1
1986-01-05,TV,1
1986-01-06,TV,1
1986-01-10,TV,1
1986-01-19,TV,1
1986-01-21,OVA,1
1986-01-26,OVA,1
1986-02-01,Music,2
1986-02-15,OVA,1
1986-02-21,OVA,1
1986-02-22,Movie,1
1986-02-23,Special,1
1986-02-26,TV,1
1986-03-01,OVA,1
1986-03-01,TV,1
1986-03-05,OVA,1
1986-03-07,TV,1
1986-03-08,Movie,1
1986-03-15,Movie,7
1986-03-21,OVA,4
1986-03-26,TV,1
1986-03-28,OVA,1
1986-03-31,Special,1
1986-04-01,OVA,1
1986-04-01,TV,1
1986-04-04,Music,2
1986-04-05,TV,1
1986-04-07,TV,1
1986-04-12,Movie,1
1986-04-13,TV,1
1986-04-16,TV,2
1986-04-21,OVA,1
1986-04-25,OVA,1
1986-04-25,TV,1
